Confianza,Soporte,R. acierto,FP,FN,Total
1.0,0.0,0.806,69,320,366
1.0,0.0005,0.823,15,339,118
1.0,0.0009,0.822,4,351,54
1.0,0.0015,0.82,4,356,33
1.0,0.0029,0.811,1,377,7
1.0,0.0069,0.796,0,407,0
1.0,0.7088,0.796,0,407,0
