PSnF,PS,PL,PC,FP,FN,atributos,Total,confianza,soporte,SA,SF
0.743,0.615,0.631,0.631,59,7,32,91,0.5,0.045,4,10
0.743,0.615,0.832,0.832,2,28,32,20,0.8,0.045,4,10
0.743,0.615,0.816,0.816,2,31,32,17,0.85,0.045,4,10
0.743,0.615,0.816,0.816,2,31,32,16,0.9,0.045,4,10
0.743,0.615,0.737,0.737,0,47,32,6,0.95,0.045,4,10
0.743,0.615,0.816,0.816,14,19,32,1,0.5,0.18,4,10
0.743,0.615,0.615,0.615,0,69,32,0,0.8,0.18,4,10
0.743,0.615,0.615,0.615,0,69,32,0,0.85,0.18,4,10
0.743,0.615,0.615,0.615,0,69,32,0,0.9,0.18,4,10
0.743,0.615,0.615,0.615,0,69,32,0,0.95,0.18,4,10
0.743,0.709,0.631,0.631,59,7,34,918,0.5,0.0,4,12
0.743,0.709,0.838,0.838,4,25,34,331,0.8,0.0,4,12
0.743,0.709,0.838,0.838,3,26,34,260,0.85,0.0,4,12
0.743,0.709,0.816,0.816,2,31,34,213,0.9,0.0,4,12
0.743,0.709,0.788,0.788,0,38,34,158,0.95,0.0,4,12
0.743,0.709,0.631,0.631,59,7,34,860,0.5,0.001,4,12
0.743,0.709,0.838,0.838,4,25,34,273,0.8,0.001,4,12
0.743,0.709,0.838,0.838,3,26,34,202,0.85,0.001,4,12
0.743,0.709,0.816,0.816,2,31,34,155,0.9,0.001,4,12
0.743,0.709,0.788,0.788,0,38,34,100,0.95,0.001,4,12
0.743,0.709,0.631,0.631,59,7,34,804,0.5,0.003,4,12
0.743,0.709,0.838,0.838,4,25,34,256,0.8,0.003,4,12
0.743,0.709,0.838,0.838,3,26,34,185,0.85,0.003,4,12
0.743,0.709,0.816,0.816,2,31,34,138,0.9,0.003,4,12
0.743,0.709,0.788,0.788,0,38,34,83,0.95,0.003,4,12
0.743,0.709,0.631,0.631,59,7,34,658,0.5,0.006,4,12
0.743,0.709,0.838,0.838,4,25,34,228,0.8,0.006,4,12
0.743,0.709,0.838,0.838,3,26,34,157,0.85,0.006,4,12
0.743,0.709,0.816,0.816,2,31,34,110,0.9,0.006,4,12
0.743,0.709,0.788,0.788,0,38,34,55,0.95,0.006,4,12
0.743,0.709,0.631,0.631,59,7,34,454,0.5,0.011,4,12
0.743,0.709,0.838,0.838,4,25,34,143,0.8,0.011,4,12
0.743,0.709,0.827,0.827,3,28,34,110,0.85,0.011,4,12
0.743,0.709,0.816,0.816,2,31,34,90,0.9,0.011,4,12
0.743,0.709,0.788,0.788,0,38,34,35,0.95,0.011,4,12
0.743,0.698,0.631,0.631,59,7,34,246,0.5,0.022,4,12
0.743,0.698,0.844,0.844,3,25,34,75,0.8,0.022,4,12
0.743,0.698,0.827,0.827,3,28,34,64,0.85,0.022,4,12
0.743,0.698,0.816,0.816,2,31,34,56,0.9,0.022,4,12
0.743,0.698,0.788,0.788,0,38,34,22,0.95,0.022,4,12
0.743,0.615,0.631,0.631,59,7,34,90,0.5,0.045,4,12
0.743,0.615,0.832,0.832,2,28,34,20,0.8,0.045,4,12
0.743,0.615,0.816,0.816,2,31,34,17,0.85,0.045,4,12
0.743,0.615,0.816,0.816,2,31,34,15,0.9,0.045,4,12
0.743,0.615,0.737,0.737,0,47,34,6,0.95,0.045,4,12
0.743,0.615,0.816,0.816,14,19,34,1,0.5,0.18,4,12
0.743,0.615,0.615,0.615,0,69,34,0,0.8,0.18,4,12
0.743,0.615,0.615,0.615,0,69,34,0,0.85,0.18,4,12
0.743,0.615,0.615,0.615,0,69,34,0,0.9,0.18,4,12
0.743,0.615,0.615,0.615,0,69,34,0,0.95,0.18,4,12
0.743,0.726,0.631,0.631,59,7,36,956,0.5,0.0,4,14
0.743,0.726,0.832,0.832,5,25,36,348,0.8,0.0,4,14
0.743,0.726,0.832,0.832,4,26,36,270,0.85,0.0,4,14
0.743,0.726,0.81,0.81,3,31,36,224,0.9,0.0,4,14
0.743,0.726,0.788,0.799,0,36,36,175,0.95,0.0,4,14
0.743,0.726,0.631,0.631,59,7,36,890,0.5,0.001,4,14
0.743,0.726,0.832,0.832,5,25,36,282,0.8,0.001,4,14
0.743,0.726,0.832,0.832,4,26,36,204,0.85,0.001,4,14
0.743,0.726,0.81,0.81,3,31,36,158,0.9,0.001,4,14
0.743,0.726,0.788,0.799,0,36,36,109,0.95,0.001,4,14
0.743,0.726,0.631,0.631,59,7,36,829,0.5,0.003,4,14
0.743,0.726,0.832,0.832,5,25,36,266,0.8,0.003,4,14
0.743,0.726,0.832,0.832,4,26,36,188,0.85,0.003,4,14
0.743,0.726,0.81,0.81,3,31,36,142,0.9,0.003,4,14
0.743,0.726,0.788,0.799,0,36,36,93,0.95,0.003,4,14
0.743,0.726,0.631,0.631,59,7,36,663,0.5,0.006,4,14
0.743,0.726,0.832,0.832,5,25,36,229,0.8,0.006,4,14
0.743,0.726,0.832,0.832,4,26,36,151,0.85,0.006,4,14
0.743,0.726,0.81,0.81,3,31,36,105,0.9,0.006,4,14
0.743,0.726,0.788,0.799,0,36,36,56,0.95,0.006,4,14
0.743,0.709,0.631,0.631,59,7,36,440,0.5,0.011,4,14
0.743,0.709,0.832,0.832,5,25,36,145,0.8,0.011,4,14
0.743,0.709,0.821,0.821,4,28,36,106,0.85,0.011,4,14
0.743,0.709,0.81,0.81,3,31,36,85,0.9,0.011,4,14
0.743,0.709,0.788,0.788,0,38,36,36,0.95,0.011,4,14
0.743,0.698,0.631,0.631,59,7,36,233,0.5,0.022,4,14
0.743,0.698,0.844,0.844,3,25,36,68,0.8,0.022,4,14
0.743,0.698,0.827,0.827,3,28,36,59,0.85,0.022,4,14
0.743,0.698,0.816,0.816,2,31,36,52,0.9,0.022,4,14
0.743,0.698,0.788,0.788,0,38,36,22,0.95,0.022,4,14
0.743,0.615,0.631,0.631,59,7,36,86,0.5,0.045,4,14
0.743,0.615,0.832,0.832,2,28,36,18,0.8,0.045,4,14
0.743,0.615,0.816,0.816,2,31,36,15,0.85,0.045,4,14
0.743,0.615,0.816,0.816,2,31,36,14,0.9,0.045,4,14
0.743,0.615,0.737,0.737,0,47,36,5,0.95,0.045,4,14
0.743,0.615,0.816,0.816,14,19,36,1,0.5,0.18,4,14
0.743,0.615,0.615,0.615,0,69,36,0,0.8,0.18,4,14
0.743,0.615,0.615,0.615,0,69,36,0,0.85,0.18,4,14
0.743,0.615,0.615,0.615,0,69,36,0,0.9,0.18,4,14
0.743,0.615,0.615,0.615,0,69,36,0,0.95,0.18,4,14
0.743,0.743,0.631,0.631,59,7,38,1021,0.5,0.0,4,16
0.743,0.743,0.832,0.832,5,25,38,388,0.8,0.0,4,16
0.743,0.743,0.832,0.832,4,26,38,304,0.85,0.0,4,16
0.743,0.743,0.81,0.81,3,31,38,254,0.9,0.0,4,16
0.743,0.743,0.788,0.799,0,36,38,192,0.95,0.0,4,16
0.743,0.743,0.631,0.631,59,7,38,951,0.5,0.001,4,16
0.743,0.743,0.832,0.832,5,25,38,318,0.8,0.001,4,16
0.743,0.743,0.832,0.832,4,26,38,234,0.85,0.001,4,16
0.743,0.743,0.81,0.81,3,31,38,184,0.9,0.001,4,16
0.743,0.743,0.788,0.799,0,36,38,122,0.95,0.001,4,16
0.743,0.743,0.631,0.631,59,7,38,882,0.5,0.003,4,16
0.743,0.743,0.832,0.832,5,25,38,299,0.8,0.003,4,16
0.743,0.743,0.832,0.832,4,26,38,215,0.85,0.003,4,16
0.743,0.743,0.81,0.81,3,31,38,165,0.9,0.003,4,16
0.743,0.743,0.788,0.799,0,36,38,103,0.95,0.003,4,16
0.743,0.743,0.631,0.631,59,7,38,708,0.5,0.006,4,16
0.743,0.743,0.832,0.832,5,25,38,264,0.8,0.006,4,16
0.743,0.743,0.832,0.832,4,26,38,180,0.85,0.006,4,16
0.743,0.743,0.81,0.81,3,31,38,130,0.9,0.006,4,16
0.743,0.743,0.788,0.799,0,36,38,68,0.95,0.006,4,16
0.743,0.726,0.631,0.631,59,7,38,460,0.5,0.011,4,16
0.743,0.726,0.832,0.832,5,25,38,162,0.8,0.011,4,16
0.743,0.726,0.821,0.821,4,28,38,123,0.85,0.011,4,16
0.743,0.726,0.81,0.81,3,31,38,103,0.9,0.011,4,16
0.743,0.726,0.788,0.788,0,38,38,41,0.95,0.011,4,16
0.743,0.698,0.631,0.631,59,7,38,250,0.5,0.022,4,16
0.743,0.698,0.844,0.844,3,25,38,84,0.8,0.022,4,16
0.743,0.698,0.827,0.827,3,28,38,74,0.85,0.022,4,16
0.743,0.698,0.816,0.816,2,31,38,64,0.9,0.022,4,16
0.743,0.698,0.788,0.788,0,38,38,26,0.95,0.022,4,16
0.743,0.615,0.631,0.631,59,7,38,86,0.5,0.045,4,16
0.743,0.615,0.832,0.832,2,28,38,19,0.8,0.045,4,16
0.743,0.615,0.816,0.816,2,31,38,16,0.85,0.045,4,16
0.743,0.615,0.816,0.816,2,31,38,15,0.9,0.045,4,16
0.743,0.615,0.737,0.737,0,47,38,5,0.95,0.045,4,16
0.743,0.615,0.816,0.816,14,19,38,1,0.5,0.18,4,16
0.743,0.615,0.615,0.615,0,69,38,0,0.8,0.18,4,16
0.743,0.615,0.615,0.615,0,69,38,0,0.85,0.18,4,16
0.743,0.615,0.615,0.615,0,69,38,0,0.9,0.18,4,16
0.743,0.615,0.615,0.615,0,69,38,0,0.95,0.18,4,16
0.743,0.743,0.631,0.631,59,7,40,1036,0.5,0.0,4,18
0.743,0.743,0.832,0.832,5,25,40,391,0.8,0.0,4,18
0.743,0.743,0.832,0.832,4,26,40,307,0.85,0.0,4,18
0.743,0.743,0.81,0.81,3,31,40,259,0.9,0.0,4,18
0.743,0.743,0.788,0.799,0,36,40,201,0.95,0.0,4,18
0.743,0.743,0.631,0.631,59,7,40,961,0.5,0.001,4,18
0.743,0.743,0.832,0.832,5,25,40,316,0.8,0.001,4,18
0.743,0.743,0.832,0.832,4,26,40,232,0.85,0.001,4,18
0.743,0.743,0.81,0.81,3,31,40,184,0.9,0.001,4,18
0.743,0.743,0.788,0.799,0,36,40,126,0.95,0.001,4,18
0.743,0.743,0.631,0.631,59,7,40,885,0.5,0.003,4,18
0.743,0.743,0.832,0.832,5,25,40,291,0.8,0.003,4,18
0.743,0.743,0.832,0.832,4,26,40,207,0.85,0.003,4,18
0.743,0.743,0.81,0.81,3,31,40,159,0.9,0.003,4,18
0.743,0.743,0.788,0.799,0,36,40,101,0.95,0.003,4,18
0.743,0.743,0.631,0.631,59,7,40,717,0.5,0.006,4,18
0.743,0.743,0.832,0.832,5,25,40,261,0.8,0.006,4,18
0.743,0.743,0.832,0.832,4,26,40,177,0.85,0.006,4,18
0.743,0.743,0.81,0.81,3,31,40,129,0.9,0.006,4,18
0.743,0.743,0.788,0.799,0,36,40,71,0.95,0.006,4,18
0.743,0.726,0.631,0.631,59,7,40,465,0.5,0.011,4,18
0.743,0.726,0.832,0.832,5,25,40,153,0.8,0.011,4,18
0.743,0.726,0.821,0.821,4,28,40,115,0.85,0.011,4,18
0.743,0.726,0.81,0.81,3,31,40,99,0.9,0.011,4,18
0.743,0.726,0.788,0.788,0,38,40,41,0.95,0.011,4,18
0.743,0.698,0.631,0.631,59,7,40,245,0.5,0.022,4,18
0.743,0.698,0.844,0.844,3,25,40,78,0.8,0.022,4,18
0.743,0.698,0.827,0.827,3,28,40,69,0.85,0.022,4,18
0.743,0.698,0.816,0.816,2,31,40,63,0.9,0.022,4,18
0.743,0.698,0.788,0.788,0,38,40,25,0.95,0.022,4,18
0.743,0.615,0.631,0.631,59,7,40,87,0.5,0.045,4,18
0.743,0.615,0.832,0.832,2,28,40,19,0.8,0.045,4,18
0.743,0.615,0.816,0.816,2,31,40,16,0.85,0.045,4,18
0.743,0.615,0.816,0.816,2,31,40,15,0.9,0.045,4,18
0.743,0.615,0.737,0.737,0,47,40,5,0.95,0.045,4,18
0.743,0.615,0.816,0.816,14,19,40,1,0.5,0.18,4,18
0.743,0.615,0.615,0.615,0,69,40,0,0.8,0.18,4,18
0.743,0.615,0.615,0.615,0,69,40,0,0.85,0.18,4,18
0.743,0.615,0.615,0.615,0,69,40,0,0.9,0.18,4,18
0.743,0.615,0.615,0.615,0,69,40,0,0.95,0.18,4,18
0.743,0.709,0.631,0.631,59,7,28,843,0.5,0.0,6,4
0.743,0.709,0.793,0.793,2,35,28,352,0.8,0.0,6,4
0.743,0.709,0.793,0.793,1,36,28,248,0.85,0.0,6,4
0.743,0.709,0.737,0.737,0,47,28,187,0.9,0.0,6,4
0.743,0.709,0.737,0.737,0,47,28,148,0.95,0.0,6,4
0.743,0.709,0.631,0.631,59,7,28,787,0.5,0.001,6,4
0.743,0.709,0.793,0.793,2,35,28,296,0.8,0.001,6,4
0.743,0.709,0.793,0.793,1,36,28,192,0.85,0.001,6,4
0.743,0.709,0.737,0.737,0,47,28,131,0.9,0.001,6,4
0.743,0.709,0.737,0.737,0,47,28,92,0.95,0.001,6,4
0.743,0.709,0.631,0.631,59,7,28,727,0.5,0.003,6,4
0.743,0.709,0.793,0.793,2,35,28,284,0.8,0.003,6,4
0.743,0.709,0.793,0.793,1,36,28,180,0.85,0.003,6,4
0.743,0.709,0.737,0.737,0,47,28,119,0.9,0.003,6,4
0.743,0.709,0.737,0.737,0,47,28,80,0.95,0.003,6,4
0.743,0.709,0.631,0.631,59,7,28,607,0.5,0.006,6,4
0.743,0.709,0.793,0.793,2,35,28,262,0.8,0.006,6,4
0.743,0.709,0.793,0.793,1,36,28,158,0.85,0.006,6,4
0.743,0.709,0.737,0.737,0,47,28,97,0.9,0.006,6,4
0.743,0.709,0.737,0.737,0,47,28,58,0.95,0.006,6,4
0.743,0.709,0.631,0.631,59,7,28,416,0.5,0.011,6,4
0.743,0.709,0.793,0.793,2,35,28,165,0.8,0.011,6,4
0.743,0.709,0.777,0.777,1,39,28,107,0.85,0.011,6,4
0.743,0.709,0.737,0.737,0,47,28,77,0.9,0.011,6,4
0.743,0.709,0.737,0.737,0,47,28,38,0.95,0.011,6,4
0.743,0.698,0.631,0.631,59,7,28,243,0.5,0.022,6,4
0.743,0.698,0.799,0.799,1,35,28,77,0.8,0.022,6,4
0.743,0.698,0.777,0.777,1,39,28,51,0.85,0.022,6,4
0.743,0.698,0.737,0.737,0,47,28,41,0.9,0.022,6,4
0.743,0.698,0.737,0.737,0,47,28,21,0.95,0.022,6,4
0.743,0.615,0.631,0.631,59,7,28,99,0.5,0.045,6,4
0.743,0.615,0.771,0.771,0,41,28,19,0.8,0.045,6,4
0.743,0.615,0.749,0.749,0,45,28,12,0.85,0.045,6,4
0.743,0.615,0.737,0.737,0,47,28,11,0.9,0.045,6,4
0.743,0.615,0.737,0.737,0,47,28,6,0.95,0.045,6,4
0.743,0.615,0.816,0.816,14,19,28,2,0.5,0.18,6,4
0.743,0.615,0.615,0.615,0,69,28,0,0.8,0.18,6,4
0.743,0.615,0.615,0.615,0,69,28,0,0.85,0.18,6,4
0.743,0.615,0.615,0.615,0,69,28,0,0.9,0.18,6,4
0.743,0.615,0.615,0.615,0,69,28,0,0.95,0.18,6,4
0.743,0.709,0.631,0.631,59,7,30,887,0.5,0.0,6,6
0.743,0.709,0.793,0.793,2,35,30,366,0.8,0.0,6,6
0.743,0.709,0.793,0.793,1,36,30,264,0.85,0.0,6,6
0.743,0.709,0.737,0.737,0,47,30,204,0.9,0.0,6,6
0.743,0.709,0.737,0.737,0,47,30,163,0.95,0.0,6,6
0.743,0.709,0.631,0.631,59,7,30,826,0.5,0.001,6,6
0.743,0.709,0.793,0.793,2,35,30,305,0.8,0.001,6,6
0.743,0.709,0.793,0.793,1,36,30,203,0.85,0.001,6,6
0.743,0.709,0.737,0.737,0,47,30,143,0.9,0.001,6,6
0.743,0.709,0.737,0.737,0,47,30,102,0.95,0.001,6,6
0.743,0.709,0.631,0.631,59,7,30,752,0.5,0.003,6,6
0.743,0.709,0.793,0.793,2,35,30,285,0.8,0.003,6,6
0.743,0.709,0.793,0.793,1,36,30,183,0.85,0.003,6,6
0.743,0.709,0.737,0.737,0,47,30,123,0.9,0.003,6,6
0.743,0.709,0.737,0.737,0,47,30,82,0.95,0.003,6,6
0.743,0.709,0.631,0.631,59,7,30,610,0.5,0.006,6,6
0.743,0.709,0.793,0.793,2,35,30,260,0.8,0.006,6,6
0.743,0.709,0.793,0.793,1,36,30,158,0.85,0.006,6,6
0.743,0.709,0.737,0.737,0,47,30,98,0.9,0.006,6,6
0.743,0.709,0.737,0.737,0,47,30,57,0.95,0.006,6,6
0.743,0.709,0.631,0.631,59,7,30,413,0.5,0.011,6,6
0.743,0.709,0.793,0.793,2,35,30,161,0.8,0.011,6,6
0.743,0.709,0.777,0.777,1,39,30,108,0.85,0.011,6,6
0.743,0.709,0.737,0.737,0,47,30,79,0.9,0.011,6,6
0.743,0.709,0.737,0.737,0,47,30,38,0.95,0.011,6,6
0.743,0.698,0.631,0.631,59,7,30,227,0.5,0.022,6,6
