PSnF,PS,PL,PC,FP,FN,atributos,Total,confianza,soporte,SA,SF
0.743,0.709,0.631,0.631,59,7,26,814,0.5,0.0,4,4
0.743,0.709,0.793,0.793,2,35,26,291,0.8,0.0,4,4
0.743,0.709,0.793,0.793,1,36,26,227,0.85,0.0,4,4
0.743,0.709,0.737,0.737,0,47,26,178,0.9,0.0,4,4
0.743,0.709,0.737,0.737,0,47,26,128,0.95,0.0,4,4
0.743,0.709,0.631,0.631,59,7,26,771,0.5,0.001,4,4
0.743,0.709,0.793,0.793,2,35,26,248,0.8,0.001,4,4
0.743,0.709,0.793,0.793,1,36,26,184,0.85,0.001,4,4
0.743,0.709,0.737,0.737,0,47,26,135,0.9,0.001,4,4
0.743,0.709,0.737,0.737,0,47,26,85,0.95,0.001,4,4
0.743,0.709,0.631,0.631,59,7,26,726,0.5,0.003,4,4
0.743,0.709,0.793,0.793,2,35,26,236,0.8,0.003,4,4
0.743,0.709,0.793,0.793,1,36,26,172,0.85,0.003,4,4
0.743,0.709,0.737,0.737,0,47,26,123,0.9,0.003,4,4
0.743,0.709,0.737,0.737,0,47,26,73,0.95,0.003,4,4
0.743,0.709,0.631,0.631,59,7,26,618,0.5,0.006,4,4
0.743,0.709,0.793,0.793,2,35,26,220,0.8,0.006,4,4
0.743,0.709,0.793,0.793,1,36,26,156,0.85,0.006,4,4
0.743,0.709,0.737,0.737,0,47,26,107,0.9,0.006,4,4
0.743,0.709,0.737,0.737,0,47,26,57,0.95,0.006,4,4
0.743,0.709,0.631,0.631,59,7,26,441,0.5,0.011,4,4
0.743,0.709,0.793,0.793,2,35,26,147,0.8,0.011,4,4
0.743,0.709,0.777,0.777,1,39,26,111,0.85,0.011,4,4
0.743,0.709,0.737,0.737,0,47,26,89,0.9,0.011,4,4
0.743,0.709,0.737,0.737,0,47,26,39,0.95,0.011,4,4
0.743,0.698,0.631,0.631,59,7,26,268,0.5,0.022,4,4
0.743,0.698,0.799,0.799,1,35,26,79,0.8,0.022,4,4
0.743,0.698,0.777,0.777,1,39,26,65,0.85,0.022,4,4
0.743,0.698,0.737,0.737,0,47,26,54,0.9,0.022,4,4
0.743,0.698,0.737,0.737,0,47,26,27,0.95,0.022,4,4
0.743,0.615,0.631,0.631,59,7,26,105,0.5,0.045,4,4
0.743,0.615,0.771,0.771,0,41,26,18,0.8,0.045,4,4
0.743,0.615,0.749,0.749,0,45,26,14,0.85,0.045,4,4
0.743,0.615,0.737,0.737,0,47,26,13,0.9,0.045,4,4
0.743,0.615,0.737,0.737,0,47,26,7,0.95,0.045,4,4
0.743,0.615,0.816,0.816,14,19,26,2,0.5,0.18,4,4
0.743,0.615,0.615,0.615,0,69,26,0,0.8,0.18,4,4
0.743,0.615,0.615,0.615,0,69,26,0,0.85,0.18,4,4
0.743,0.615,0.615,0.615,0,69,26,0,0.9,0.18,4,4
0.743,0.615,0.615,0.615,0,69,26,0,0.95,0.18,4,4
0.743,0.709,0.631,0.631,59,7,28,867,0.5,0.0,4,6
0.743,0.709,0.793,0.793,2,35,28,321,0.8,0.0,4,6
0.743,0.709,0.793,0.793,1,36,28,252,0.85,0.0,4,6
0.743,0.709,0.737,0.737,0,47,28,200,0.9,0.0,4,6
0.743,0.709,0.737,0.737,0,47,28,146,0.95,0.0,4,6
0.743,0.709,0.631,0.631,59,7,28,819,0.5,0.001,4,6
0.743,0.709,0.793,0.793,2,35,28,273,0.8,0.001,4,6
0.743,0.709,0.793,0.793,1,36,28,204,0.85,0.001,4,6
0.743,0.709,0.737,0.737,0,47,28,152,0.9,0.001,4,6
0.743,0.709,0.737,0.737,0,47,28,98,0.95,0.001,4,6
0.743,0.709,0.631,0.631,59,7,28,765,0.5,0.003,4,6
0.743,0.709,0.793,0.793,2,35,28,255,0.8,0.003,4,6
0.743,0.709,0.793,0.793,1,36,28,186,0.85,0.003,4,6
0.743,0.709,0.737,0.737,0,47,28,134,0.9,0.003,4,6
0.743,0.709,0.737,0.737,0,47,28,80,0.95,0.003,4,6
0.743,0.709,0.631,0.631,59,7,28,638,0.5,0.006,4,6
0.743,0.709,0.793,0.793,2,35,28,236,0.8,0.006,4,6
0.743,0.709,0.793,0.793,1,36,28,167,0.85,0.006,4,6
0.743,0.709,0.737,0.737,0,47,28,115,0.9,0.006,4,6
0.743,0.709,0.737,0.737,0,47,28,61,0.95,0.006,4,6
0.743,0.709,0.631,0.631,59,7,28,449,0.5,0.011,4,6
0.743,0.709,0.793,0.793,2,35,28,151,0.8,0.011,4,6
0.743,0.709,0.777,0.777,1,39,28,116,0.85,0.011,4,6
0.743,0.709,0.737,0.737,0,47,28,93,0.9,0.011,4,6
0.743,0.709,0.737,0.737,0,47,28,39,0.95,0.011,4,6
0.743,0.698,0.631,0.631,59,7,28,254,0.5,0.022,4,6
0.743,0.698,0.799,0.799,1,35,28,75,0.8,0.022,4,6
0.743,0.698,0.777,0.777,1,39,28,64,0.85,0.022,4,6
0.743,0.698,0.737,0.737,0,47,28,53,0.9,0.022,4,6
0.743,0.698,0.737,0.737,0,47,28,26,0.95,0.022,4,6
0.743,0.615,0.631,0.631,59,7,28,95,0.5,0.045,4,6
0.743,0.615,0.771,0.771,0,41,28,16,0.8,0.045,4,6
0.743,0.615,0.749,0.749,0,45,28,13,0.85,0.045,4,6
0.743,0.615,0.737,0.737,0,47,28,12,0.9,0.045,4,6
0.743,0.615,0.737,0.737,0,47,28,6,0.95,0.045,4,6
0.743,0.615,0.816,0.816,14,19,28,2,0.5,0.18,4,6
0.743,0.615,0.615,0.615,0,69,28,0,0.8,0.18,4,6
0.743,0.615,0.615,0.615,0,69,28,0,0.85,0.18,4,6
0.743,0.615,0.615,0.615,0,69,28,0,0.9,0.18,4,6
0.743,0.615,0.615,0.615,0,69,28,0,0.95,0.18,4,6
0.743,0.709,0.631,0.631,59,7,30,934,0.5,0.0,4,8
0.743,0.709,0.838,0.838,4,25,30,345,0.8,0.0,4,8
0.743,0.709,0.838,0.838,3,26,30,270,0.85,0.0,4,8
0.743,0.709,0.816,0.816,2,31,30,212,0.9,0.0,4,8
0.743,0.709,0.788,0.788,0,38,30,155,0.95,0.0,4,8
0.743,0.709,0.631,0.631,59,7,30,881,0.5,0.001,4,8
0.743,0.709,0.838,0.838,4,25,30,292,0.8,0.001,4,8
0.743,0.709,0.838,0.838,3,26,30,217,0.85,0.001,4,8
0.743,0.709,0.816,0.816,2,31,30,159,0.9,0.001,4,8
0.743,0.709,0.788,0.788,0,38,30,102,0.95,0.001,4,8
0.743,0.709,0.631,0.631,59,7,30,821,0.5,0.003,4,8
0.743,0.709,0.838,0.838,4,25,30,274,0.8,0.003,4,8
0.743,0.709,0.838,0.838,3,26,30,199,0.85,0.003,4,8
0.743,0.709,0.816,0.816,2,31,30,141,0.9,0.003,4,8
0.743,0.709,0.788,0.788,0,38,30,84,0.95,0.003,4,8
0.743,0.709,0.631,0.631,59,7,30,672,0.5,0.006,4,8
0.743,0.709,0.838,0.838,4,25,30,251,0.8,0.006,4,8
0.743,0.709,0.838,0.838,3,26,30,176,0.85,0.006,4,8
0.743,0.709,0.816,0.816,2,31,30,118,0.9,0.006,4,8
0.743,0.709,0.788,0.788,0,38,30,61,0.95,0.006,4,8
0.743,0.709,0.631,0.631,59,7,30,453,0.5,0.011,4,8
0.743,0.709,0.838,0.838,4,25,30,156,0.8,0.011,4,8
0.743,0.709,0.827,0.827,3,28,30,120,0.85,0.011,4,8
0.743,0.709,0.816,0.816,2,31,30,93,0.9,0.011,4,8
0.743,0.709,0.788,0.788,0,38,30,36,0.95,0.011,4,8
0.743,0.698,0.631,0.631,59,7,30,255,0.5,0.022,4,8
0.743,0.698,0.844,0.844,3,25,30,82,0.8,0.022,4,8
0.743,0.698,0.827,0.827,3,28,30,69,0.85,0.022,4,8
0.743,0.698,0.816,0.816,2,31,30,58,0.9,0.022,4,8
0.743,0.698,0.788,0.788,0,38,30,24,0.95,0.022,4,8
0.743,0.615,0.631,0.631,59,7,30,89,0.5,0.045,4,8
0.743,0.615,0.832,0.832,2,28,30,18,0.8,0.045,4,8
0.743,0.615,0.816,0.816,2,31,30,15,0.85,0.045,4,8
0.743,0.615,0.816,0.816,2,31,30,14,0.9,0.045,4,8
0.743,0.615,0.737,0.737,0,47,30,5,0.95,0.045,4,8
0.743,0.615,0.816,0.816,14,19,30,2,0.5,0.18,4,8
0.743,0.615,0.615,0.615,0,69,30,0,0.8,0.18,4,8
0.743,0.615,0.615,0.615,0,69,30,0,0.85,0.18,4,8
0.743,0.615,0.615,0.615,0,69,30,0,0.9,0.18,4,8
0.743,0.615,0.615,0.615,0,69,30,0,0.95,0.18,4,8
0.743,0.709,0.631,0.631,59,7,32,914,0.5,0.0,4,10
0.743,0.709,0.838,0.838,4,25,32,330,0.8,0.0,4,10
0.743,0.709,0.838,0.838,3,26,32,254,0.85,0.0,4,10
0.743,0.709,0.816,0.816,2,31,32,208,0.9,0.0,4,10
0.743,0.709,0.788,0.788,0,38,32,150,0.95,0.0,4,10
0.743,0.709,0.631,0.631,59,7,32,861,0.5,0.001,4,10
0.743,0.709,0.838,0.838,4,25,32,277,0.8,0.001,4,10
0.743,0.709,0.838,0.838,3,26,32,201,0.85,0.001,4,10
0.743,0.709,0.816,0.816,2,31,32,155,0.9,0.001,4,10
0.743,0.709,0.788,0.788,0,38,32,97,0.95,0.001,4,10
0.743,0.709,0.631,0.631,59,7,32,805,0.5,0.003,4,10
0.743,0.709,0.838,0.838,4,25,32,258,0.8,0.003,4,10
0.743,0.709,0.838,0.838,3,26,32,182,0.85,0.003,4,10
0.743,0.709,0.816,0.816,2,31,32,136,0.9,0.003,4,10
0.743,0.709,0.788,0.788,0,38,32,78,0.95,0.003,4,10
0.743,0.709,0.631,0.631,59,7,32,668,0.5,0.006,4,10
0.743,0.709,0.838,0.838,4,25,32,233,0.8,0.006,4,10
0.743,0.709,0.838,0.838,3,26,32,157,0.85,0.006,4,10
0.743,0.709,0.816,0.816,2,31,32,111,0.9,0.006,4,10
0.743,0.709,0.788,0.788,0,38,32,53,0.95,0.006,4,10
0.743,0.709,0.631,0.631,59,7,32,458,0.5,0.011,4,10
0.743,0.709,0.838,0.838,4,25,32,149,0.8,0.011,4,10
0.743,0.709,0.827,0.827,3,28,32,113,0.85,0.011,4,10
0.743,0.709,0.816,0.816,2,31,32,93,0.9,0.011,4,10
0.743,0.709,0.788,0.788,0,38,32,35,0.95,0.011,4,10
0.743,0.698,0.631,0.631,59,7,32,254,0.5,0.022,4,10
0.743,0.698,0.844,0.844,3,25,32,78,0.8,0.022,4,10
0.743,0.698,0.827,0.827,3,28,32,66,0.85,0.022,4,10
0.743,0.698,0.816,0.816,2,31,32,58,0.9,0.022,4,10
0.743,0.698,0.788,0.788,0,38,32,23,0.95,0.022,4,10
